Unique ID,RA,Dec,Period (day),Period (min),Period error,Aliases,Double lined?,Eclipsing,Verific Binary/ LISA Detectable,Gmag,"Distance (pc, 1/p. bold for literature)",K1 (km/s),K1 error,K2 (km/s),K2 error,M1,M1 error,M2,M2 error,Mtotal,Mtotal error, Ref 1,Ref 2,Ref 3,Ref 4,SecureDWDbinary?,Comment,
J2119-0018     ,21 19 21.96,-00 18 25.8,0.08677,124.9488,0.00004,,?,?,,20.3,1399.5,383,4,,,0.159,0.01,0.84,0.14,0.999,0.14,2010ApJ...723.1072B,2016ApJ...824...46B,,,Y,,
J1526+0543,15 26 51.57,+05 43 35.4,0.25039,360.5616,0.00002,,?,?,,19,3144.2,231.9,2.3,,,0.161,0.01,0.81,0.21,0.971,0.21,2015ApJ...812..167G,2016ApJ...824...46B,,,Y,,
J0745+1949,07 45 11.56,+19 49 26.6,0.1124,161.856,0.00833,,?,?,,16.4,919.0,108.7,2.9,,,0.164,0.01,0.15,0.34,0.314,0.34,2014ApJ...781..104G,2016ApJ...824...46B,,,Y,,
J0818+3536     ,08 18 22.35,+35 36 18.7,0.18315,263.736,0.0211,,?,?,,20.8,negative,170,5,,,0.165,0.01,0.75,0.24,0.915,0.24,2010ApJ...723.1072B,2016ApJ...824...46B,,,Y,,
J1538+0252,15 38 44.22,+02 52 09.6,0.41915,603.576,0.00295,0.295,?,?,,18.8,1408.4,227.6,4.9,,,0.168,0.01,0.92,0.17,1.088,0.17,2013ApJ...769...66B,2016ApJ...824...46B,,,Y,,
SDSS J0152+0749,01 52 13.78,+07 49 14.1,0.32288,464.9472,0.00014,,?,?,,18.4,976.9,217,2,,,0.169,0.01,0.82,0.21,0.989,0.21,2012ApJ...744..142B,2016ApJ...824...46B,,,Y,,
J1233+1602     ,12 33 16.20,+16 02 04.7,0.1509,217.296,0.00009,,?,?,,20.1,675.7,336,4,,,0.169,0.01,0.98,0.16,1.149,0.16,2010ApJ...723.1072B,2016ApJ...824...46B,,,Y,,
J1630+2712,16 30 26.10,+27 12 26.6,0.27646,398.1024,0.00002,,?,?,,20.3,6978.2,218,5,,,0.17,0.01,0.8,0.22,0.97,0.22,2010ApJ...723.1072B,2016ApJ...824...46B,,,Y,,
WD J1741+6526,17 41 40.49,+65 26 38.7,0.06111,87.9984,0.00001,,?,?,,18.5,1154.0,508,4,,,0.17,0.01,1.17,0.07,1.34,0.071,2012ApJ...744..142B,2016ApJ...824...46B,,,Y,,
J1617+1310,16 17 22.51,+13 10 18.9,0.41124,592.1856,0.00086,,?,?,,18.9,1052.8,210.1,2.8,,,0.172,0.01,0.85,0.2,1.022,0.2,2015ApJ...812..167G,2016ApJ...824...46B,,,Y,,
SDSS0917+4638  ,09 17 09.55,+46 38 21.7,0.31642,455.6448,0.00002,,?,?,,18.9,2222.0,148.8,2,,,0.173,0.01,0.75,0.23,0.923,0.23, 2010ApJ...723.1072B,2016ApJ...824...46B,,,Y,,
J1112+1117,11 12 15.83,+11 17 44.9,0.17248,248.3712,0.00001,,?,?,,16.3,363.5,116.2,2.8,,,0.176,0.01,0.75,0.24,0.926,0.24,2016ApJ...824...46B,,,,Y,,
J1054-2121,10 54 35.78,-21 21 55.9,0.10439,150.3216,0.00655,,?,?,,18.7,1742.3,261.1,7.1,,,0.178,0.011,0.77,0.24,0.948,0.24,2016ApJ...824...46B,,,,Y,,
J1108+1512,11 08 15.51,+15 12 46.7,0.1231,177.264,0.00867,,?,?,,18.8,825.2,256.2,3.7,,,0.179,0.01,0.78,0.22,0.959,0.22,2016ApJ...824...46B,,,,Y,,
WD J0849+0445,08 49 10.13,+04 45 28.7,0.0787,113.328,0.0001,,?,?,,19.3,1783.8,366.9,4.7,,,0.179,0.01,0.86,0.19,1.039,0.19,2010ApJ...716..122K,2016ApJ...824...46B,,,Y,,
J0837+6648,08 37 08.51,+66 48 37.1,0.46329,667.1376,0.00005,,?,?,,18,604.1,150.3,3,,,0.181,0.01,0.76,0.24,0.941,0.24,2015ApJ...812..167G,2016ApJ...824...46B,,,Y,,
J1422+4352,14 22 00.74,+43 52 53.0,0.3793,546.192,0.01123,,?,?,,20,3214.9,176,6,,,0.181,0.01,0.78,0.23,0.961,0.23,2010ApJ...723.1072B,2016ApJ...824...46B,,,Y,,
J1439+1002,14 39 48.40,+10 02 21.7,0.43741,629.8704,0.00169,,?,?,,18.1,726.1,174,2,,,0.181,0.01,0.78,0.23,0.961,0.23,2010ApJ...723.1072B,2016ApJ...824...46B,,,Y,,
J2151+1614,21 51 59.21,+16 14 48.7,0.59152,851.7888,0.00008,,?,?,,16.9,391.2,163.3,3.1,,,0.181,0.01,0.8,0.22,0.981,0.22,2016ApJ...824...46B,,,,Y,,
WD J1840+6423,18 40 37.77,+64 23 12.2,0.1913,275.472,0.00005,,?,?,,18.9,770.3,272,2,,,0.182,0.011,0.86,0.19,1.042,0.19,2012ApJ...744..142B,2016ApJ...824...46B,,,Y,,
SDSS J104336.28+055149.9,10 43 36.28,+05 51 49.9,0.0317,45.648,0.00092,,?,N,,19.1,negative,115.2,6.8,,,0.183,0.01,>0.07,,#VALUE!,0.01,2017ApJ...847...10B,,,,Y,,
WD J0755+4906     ,07 55 52.40,+49 06 27.9,0.06302,90.7488,0.00213,,?,?,,20.3,negative,438,5,,,0.184,0.01,0.96,0.16,1.144,0.16,2010ApJ...723.1072B,2016ApJ...824...46B,,,Y,,
WD J0822+2753,08 22 12.58,+27 53 07.4,0.244,351.36,0.0002,,?,?,,18.3,589.8,271.1,9,,,0.191,0.012,0.93,0.17,1.121,0.17,2010ApJ...716..122K,2016ApJ...824...46B,,,Y,,
J1625+3632     ,16 25 42.11,+36 32 19.1,0.23,331.2,0.04,,?,?,,19.6,2466.9,58.4,2.7,,,0.2,,>0.07,,#VALUE!,0,2011ApJ...727....3K,,,,Y,,
WD J1443+1509,14 43 42.76,+15 09 38.9,0.19053,274.3632,0.02402,,?,?,,18.6,705.5,306.7,3,,,0.201,0.013,0.99,0.15,1.191,0.151,2012ApJ...744..142B,2016ApJ...824...46B,,,Y,,
WD J1518+0658,15 18 26.69,+06 58 13.3,0.60935,877.464,0.00004,,?,?,,17.5,349.3,172,2,,,0.224,0.013,0.83,0.2,1.054,0.2,2012ApJ...744..142B,2016ApJ...824...46B,,,Y,,
SMSS J033816.16-813929.9,03 38 16.1,-81 39 30.06,0.02125,30.6,,,?,N,D,17.3,533.0,379.7,4.6,,,0.23,0.015,0.38,0.05,0.61,0.052,2021ApJ...918L..14K,,,,Y,SDSS J033816.16-813929.9,
WD J1436+5010,14 36 33.28,+50 10 26.9,0.0458,65.952,0.0001,,?,?,,18.4,948.4,347.4,8.9,,,0.234,0.013,0.78,0.23,1.014,0.23,2010ApJ...716..122K,2016ApJ...824...46B,,,Y,WD 1434+503,
J1512+2615,15 12 25.70,+26 15 38.5,0.59999,863.9856,0.02348,,?,?,,19.6,933.7,115,4,,,0.25,0.014,0.76,0.24,1.01,0.24,2010ApJ...723.1072B,2016ApJ...824...46B,,,Y,,
J0022+0031     ,00 22 28.45,+00 31 15.5,0.491,707.04,0.025,,?,?,,19.5,631.4,80.8,1.3,,,0.38,,>0.21,,#VALUE!,0,2011ApJ...727....3K,,,,Y,,
PG1114+224     ,11 17 03.61,+22 06 31.9,0.32,460.8,0.015,,?,?,,16.3,260.1,34,7,,,0.41,,>0.07,,#VALUE!,0, 2011ApJ...730...67B,,,,Y,,
PG1036+086,10 39 07.38,+08 18 41.0,1.3283,1912.752,0.0109,,?,?,,16.4,230.9,111,17,,,0.42,,>0.37,,#VALUE!,0,,,,,N,,
J1557+2823,15 57 08.48,+28 23 36.1,0.40741,586.6704,0.00294,0.677,?,?,,17.8,247.0,131.2,4.2,,,0.49,,>0.43,,#VALUE!,0,2013ApJ...769...66B,,,,Y,,
WD1736+052,17 38 41.72,+05 16 06.3,,,,,?,?,,15.9,45.5,,,,,,,,,0,0,"2017MNRAS.467.1414M,",,,,N,Spectra In SPY,
HS 0213+059,02 15 36.72,+04 13 38.1,,,,,?,?,,16.8,180.4,,,,,,,,,0,0,,,,,Y,,
J1518+1354,15 18 02.57,+13 54 32.0,0.5766,830.304,0.0073,,N,N,,19.1,3798.9,112.7,4.6,,,0.147,0.018,0.75,0.24,0.897,0.241,2016ApJ...818..155B,2016ApJ...824...46B,,,Y,,
